QueryID	DocID	Rank	Score
1	257	1	10.770868338124023
1	304	2	9.504320911565777
1	308	3	8.853323543045549
1	323	4	8.592509671688710
1	288	5	8.446644514026152
1	326	6	8.396416868346076
1	370	7	8.174070520623495
2	326	1	12.864283199628748
2	334	2	12.745720014918573
3	349	1	6.776284704209981
3	334	2	6.725107533785699
3	12	3	6.665378050918172
3	211	4	6.660142386310653
4	334	1	9.161197801727614
4	383	2	8.996659074234927
4	211	3	8.879493853401792
4	326	4	8.587389342389940
4	323	5	8.409435591230915
5	395	1	6.537613049104137
5	304	2	5.589340055785490
5	383	3	5.164697579242459
5	326	4	5.144206869952368
5	349	5	4.970050702087394
6	323	1	12.124798762422813
6	304	2	12.012521551973411
6	324	3	11.250045722743792
6	308	4	11.205840602883786
6	268	5	10.901081493676303
6	326	6	10.613007866718240
6	257	7	9.925135257862548
6	288	8	9.081588486984101
6	334	9	9.037751807307380
7	384	1	10.852928884792298
7	406	2	10.584614189344647
8	339	1	18.504485158789699
8	358	2	17.639165114862863
9	339	1	7.292708642502424
9	358	2	6.889838459368180
9	61	3	5.659007327113905
9	269	4	5.453521266805817
9	156	5	5.394833236977009
9	242	6	5.252023485422209
9	155	7	4.052394310918196
9	422	8	3.606129361028136
10	61	1	11.132100375773835
10	155	2	9.777798757935948
10	269	3	8.445754139724299
10	156	4	7.648131075058311
10	358	5	5.632646491394167
10	339	6	5.174540515558659
11	198	1	8.029105598621966
11	195	2	5.522787885797114
12	61	1	12.445783266166032
12	358	2	12.432807729166957
12	156	3	11.947401687351954
12	155	4	10.519121351140882
12	242	5	9.988032832450081
12	269	6	9.743241149245666
12	339	7	9.448790948690570
13	170	1	8.245273660716236
13	287	2	6.828966063290000
13	87	3	6.225429447002959
14	279	1	4.692769443120525
15	422	1	12.230400251627682
15	118	2	12.025860958060974
15	164	3	11.775987415591560
15	128	4	11.715791629240286
15	94	5	10.308656552431607
16	239	1	7.696765658966854
16	169	2	7.614423532771912
16	350	3	7.146565270787672
17	303	1	12.197428558411957
17	61	2	9.949293132784859
18	247	1	3.943278677812753
19	195	1	15.246162397685909
19	159	2	14.559773312562044
19	100	3	11.230993535441236
19	99	4	10.192751533757923
19	115	5	9.807616425327121
20	97	1	3.964263280556692
21	318	1	6.605340289197012
21	338	2	6.554137319896601
22	347	1	3.995615042100786
22	50	2	3.937914231630518
23	358	1	2.980313087298070
24	318	1	7.003641448894760
25	194	1	5.212258083591994
26	102	1	2.745607683417966
26	266	2	2.377308932735125
27	306	1	5.850395797792501
27	295	2	4.622525022776741
27	272	3	4.604872429891671
28	81	1	4.774403032498054
28	225	2	4.666213768600446
28	277	3	4.627630288820124
28	325	4	4.446979288271854
28	413	5	4.359560799537085
29	192	1	16.904992665396559
29	341	2	10.796411141157659
30	261	1	11.578128943993480
30	253	2	11.198610411539732
30	271	3	10.949991054353811
30	58	4	8.605069281193435
30	369	5	8.296006757882177
31	56	1	4.258988247327816
31	39	2	4.020799967875785
31	9	3	3.531144637471239
31	300	4	3.504938600082652
31	316	5	3.112641981808641
31	81	6	3.111217238819207
31	90	7	2.790648805265803
32	279	1	6.574198052871303
33	251	1	7.952825505634213
33	335	2	5.995260314926810
34	294	1	5.496289273995323
35	318	1	5.383248130335927
36	217	1	7.714152363022652
37	378	1	4.941894376049426
37	367	2	3.743224210325434
38	272	1	3.491915548258667
39	360	1	14.144731533143251
39	277	2	12.889169944828934
39	394	3	12.384968059717213
39	173	4	11.648944253990695
39	22	5	10.291843772510800
39	189	6	9.858213356932183
39	73	7	9.179964482926092
39	255	8	9.113706143371388
39	265	9	8.996194310023759
40	207	1	7.364579482101654
40	20	2	6.355008139578618
40	325	3	5.873608859728982
40	71	4	5.513182425384622
40	182	5	5.402768766250010
40	261	6	5.003947185843436
40	131	7	4.986186593991153
40	148	8	4.780903760584318
40	272	9	4.709112454501019
41	157	1	6.434707318657152
41	23	2	5.422806790378648
41	47	3	5.069642881481786
41	174	4	5.059123292462029
41	1	5	5.055119450073333
41	53	6	5.046012770206421
42	1	1	8.671142682479884
43	341	1	7.399099689206370
43	329	2	5.204588846279000
44	295	1	8.039639910171461
44	306	2	6.829908068123043
45	229	1	4.051661947798987
45	264	2	3.617807156483550
45	261	3	3.604770592654118
45	365	4	2.884637756946380
45	20	5	2.761726837096694
46	202	1	7.550730420765293
46	56	2	7.414974227684429
46	23	3	6.841163947936455
46	47	4	6.742957315154921
46	348	5	6.591298322473450
46	1	6	6.569415063538879
46	20	7	6.468123061498613
46	53	8	5.973101048316571
46	54	9	5.843079863908248
46	291	10	5.629713695177703
46	32	11	5.199783986287369
46	151	12	4.949940088605636
46	157	13	4.886119011571910
46	215	14	4.847662934511462
46	272	15	4.740069690372218
46	39	16	4.701042461564404
46	80	17	4.627395800588466
46	26	18	4.508392508867763
47	174	1	3.158459361840851
47	89	2	3.080543360631086
47	378	3	3.024134041334230
47	93	4	2.957328882803629
47	272	5	2.894413870993323
47	148	6	2.876144499057228
48	306	1	1.816199652910047
49	56	1	9.350433701212854
49	183	2	9.218839577651551
49	205	3	8.398269949437223
49	103	4	8.130790918646611
49	150	5	7.355499739683164
49	378	6	6.331473597986555
49	291	7	5.481750237684754
49	380	8	5.420707818557496
50	157	1	6.168511480770389
51	2	1	3.740090695402810
51	276	2	3.197405193475457
51	186	3	3.146887327872565
52	186	1	6.159839451163486
52	2	2	3.867135701357687
53	295	1	9.737442995518071
53	306	2	8.196887928655542
54	315	1	10.491470748050833
54	295	2	10.345766345601223
55	89	1	11.161841839040290
55	1	2	9.643362742610808
55	157	3	9.205193510787172
55	254	4	8.153081986871531
55	38	5	7.529689062948696
55	135	6	7.424933237204522
55	247	7	7.078698483799579
55	402	8	6.789177773316686
55	228	9	6.268271838311538
